title,text,label
Scientists develop AI tool for early disease detection,Scientists develop AI tool for early disease detection. The report was confirmed by official sources and verified public records.,1
Education department releases updated school safety guidelines,Education department releases updated school safety guidelines. The report was confirmed by official sources and verified public records.,1
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Hospital opens new emergency care unit with modern equipment,Hospital opens new emergency care unit with modern equipment. The report was confirmed by official sources and verified public records.,1
Stock market rises after strong quarterly company earnings,Stock market rises after strong quarterly company earnings. The report was confirmed by official sources and verified public records.,1
Education department releases updated school safety guidelines,Education department releases updated school safety guidelines. The report was confirmed by official sources and verified public records.,1
Central bank keeps interest rates unchanged after policy meeting,Central bank keeps interest rates unchanged after policy meeting. The report was confirmed by official sources and verified public records.,1
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.,0
Stock market rises after strong quarterly company earnings,Stock market rises after strong quarterly company earnings. The report was confirmed by official sources and verified public records.,1
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.,0
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.,0
Government announces healthcare support program for rural areas,Government announces healthcare support program for rural areas. The report was confirmed by official sources and verified public records.,1
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.,0
Doctors confirm chocolate cures every disease overnight,Doctors confirm chocolate cures every disease overnight. The viral claim used exaggerated language and provided no reliable evidence.,0
Miracle oil guarantees 15 kg weight loss in two days,Miracle oil guarantees 15 kg weight loss in two days. The viral claim used exaggerated language and provided no reliable evidence.,0
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.,0
Miracle oil guarantees 15 kg weight loss in two days,Miracle oil guarantees 15 kg weight loss in two days. The viral claim used exaggerated language and provided no reliable evidence.,0
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.,0
Hospital opens new emergency care unit with modern equipment,Hospital opens new emergency care unit with modern equipment. The report was confirmed by official sources and verified public records.,1
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.,0
Education department releases updated school safety guidelines,Education department releases updated school safety guidelines. The report was confirmed by official sources and verified public records.,1
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.,0
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.,0
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.,0
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.,0
Researchers publish study on renewable energy battery storage,Researchers publish study on renewable energy battery storage. The report was confirmed by official sources and verified public records.,1
University receives grant for climate change research,University receives grant for climate change research. The report was confirmed by official sources and verified public records.,1
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.,0
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.,0
Scientists develop AI tool for early disease detection,Scientists develop AI tool for early disease detection. The report was confirmed by official sources and verified public records.,1
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.,0
NASA plans to build a luxury hotel on the Sun by 2035,NASA plans to build a luxury hotel on the Sun by 2035. The viral claim used exaggerated language and provided no reliable evidence.,0
University receives grant for climate change research,University receives grant for climate change research. The report was confirmed by official sources and verified public records.,1
Aliens open restaurant in Mumbai and sign trade agreement,Aliens open restaurant in Mumbai and sign trade agreement. The viral claim used exaggerated language and provided no reliable evidence.,0
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.,0
Scientists develop AI tool for early disease detection,Scientists develop AI tool for early disease detection. The report was confirmed by official sources and verified public records.,1
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.,0
Stock market rises after strong quarterly company earnings,Stock market rises after strong quarterly company earnings. The report was confirmed by official sources and verified public records.,1
Central bank keeps interest rates unchanged after policy meeting,Central bank keeps interest rates unchanged after policy meeting. The report was confirmed by official sources and verified public records.,1
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Stock market rises after strong quarterly company earnings,Stock market rises after strong quarterly company earnings. The report was confirmed by official sources and verified public records.,1
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.,0
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
New satellite launched to improve weather forecasting,New satellite launched to improve weather forecasting. The report was confirmed by official sources and verified public records.,1
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.,0
Doctors confirm chocolate cures every disease overnight,Doctors confirm chocolate cures every disease overnight. The viral claim used exaggerated language and provided no reliable evidence.,0
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.,0
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.,0
Hospital opens new emergency care unit with modern equipment,Hospital opens new emergency care unit with modern equipment. The report was confirmed by official sources and verified public records.,1
Hospital opens new emergency care unit with modern equipment,Hospital opens new emergency care unit with modern equipment. The report was confirmed by official sources and verified public records.,1
