title,text
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.
Doctors confirm chocolate cures every disease overnight,Doctors confirm chocolate cures every disease overnight. The viral claim used exaggerated language and provided no reliable evidence.
Miracle oil guarantees 15 kg weight loss in two days,Miracle oil guarantees 15 kg weight loss in two days. The viral claim used exaggerated language and provided no reliable evidence.
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.
Miracle oil guarantees 15 kg weight loss in two days,Miracle oil guarantees 15 kg weight loss in two days. The viral claim used exaggerated language and provided no reliable evidence.
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.
NASA plans to build a luxury hotel on the Sun by 2035,NASA plans to build a luxury hotel on the Sun by 2035. The viral claim used exaggerated language and provided no reliable evidence.
Aliens open restaurant in Mumbai and sign trade agreement,Aliens open restaurant in Mumbai and sign trade agreement. The viral claim used exaggerated language and provided no reliable evidence.
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.
Man becomes invisible after drinking secret herbal tea,Man becomes invisible after drinking secret herbal tea. The viral claim used exaggerated language and provided no reliable evidence.
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.
Doctors confirm chocolate cures every disease overnight,Doctors confirm chocolate cures every disease overnight. The viral claim used exaggerated language and provided no reliable evidence.
Humans can survive without sleep for six months,Humans can survive without sleep for six months. The viral claim used exaggerated language and provided no reliable evidence.
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.
Doctors confirm chocolate cures every disease overnight,Doctors confirm chocolate cures every disease overnight. The viral claim used exaggerated language and provided no reliable evidence.
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.
Miracle oil guarantees 15 kg weight loss in two days,Miracle oil guarantees 15 kg weight loss in two days. The viral claim used exaggerated language and provided no reliable evidence.
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.
Aliens open restaurant in Mumbai and sign trade agreement,Aliens open restaurant in Mumbai and sign trade agreement. The viral claim used exaggerated language and provided no reliable evidence.
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.
NASA plans to build a luxury hotel on the Sun by 2035,NASA plans to build a luxury hotel on the Sun by 2035. The viral claim used exaggerated language and provided no reliable evidence.
Smartphones can charge themselves using human thoughts,Smartphones can charge themselves using human thoughts. The viral claim used exaggerated language and provided no reliable evidence.
Miracle pill allows anyone to learn 20 languages in one hour,Miracle pill allows anyone to learn 20 languages in one hour. The viral claim used exaggerated language and provided no reliable evidence.
Aliens open restaurant in Mumbai and sign trade agreement,Aliens open restaurant in Mumbai and sign trade agreement. The viral claim used exaggerated language and provided no reliable evidence.
Dinosaur discovered alive inside a shopping mall,Dinosaur discovered alive inside a shopping mall. The viral claim used exaggerated language and provided no reliable evidence.
Celebrity adopts a real dragon as a household pet,Celebrity adopts a real dragon as a household pet. The viral claim used exaggerated language and provided no reliable evidence.
Doctors confirm chocolate cures every disease overnight,Doctors confirm chocolate cures every disease overnight. The viral claim used exaggerated language and provided no reliable evidence.
